Name,wOBA,xwOBA
Clint Frazier,0.256,0.255
Jonathan Arauz,0.217,0.241
Franchy Cordero,0.286,0.288
Jose Fermin,0.281,0.323
Taylor Motter,0.204,0.232
Korey Lee,0.134,0.238
Michael Busch,0.241,0.264
Brad Miller,0.300,0.316
Matt Beaty,0.300,0.273
Mark Mathias,0.278,0.287
Ernie Clement,0.378,0.325
Hunter Goodman,0.266,0.263
Conner Capel,0.322,0.302
Dane Myers,0.278,0.308
David Hensley,0.184,0.249
Ben Rortvedt,0.219,0.269
Danny Mendick,0.226,0.245
Jordan Luplow,0.290,0.273
Brandon Dixon,0.249,0.238
Nick Loftin,0.348,0.302
Mike Brosseau,0.281,0.262
Michael Brantley Jr.,0.309,0.286
Wilyer Abreu,0.375,0.357
Everson Pereira,0.202,0.270
Henry Ramos,0.303,0.297
